B_y,AL,M_x,M_y,M_z
-2,0.5,-43.0386,-1006.02,32.1831
-1,0.5,-49.3208,-966.044,-28.4103
-0.666667,0.5,-451.826,-850.549,-0.749325
-0.5,0.5,774.441,-612.293,-7.7462
-0.4,0.5,-858.573,-483.472,-34.006
-0.333333,0.5,882.102,-437.066,-32.9862
-0.285714,0.5,-923.783,-345.363,4.03654
-0.166667,0.5,-959.903,-248.469,3.69167
-0.25,0.5,932.128,-308.401,-30.885
-0.181818,0.5,-966.725,-219.662,30.592
-0.153846,0.5,-982.534,-154.454,50.2988
-0.222222,0.5,946.753,-279.323,-5.98793
-0.2,0.5,-948.971,-272.317,45.9293
-0.133333,0.5,-975.627,-164.18,12.3008
-0.142857,0.5,977.361,-183.621,30.9674
-0.125,0.5,-977.593,-130.339,-28.2301
-0.117647,0.5,-982.812,-94.1429,-26.3903
-0.111111,0.5,-982.665,-133.573,-4.99762
-0.105263,0.5,978.293,-98.657,25.3425
-0.0909091,0.5,-983.646,-80.0062,-4.45985
-0.0869565,0.5,982.432,-84.4322,-13.9818
-0.0769231,0.5,-982.677,-108.901,18.1135
-0.0740741,0.5,988.108,-105.281,18.899
-0.08,0.5,988.116,-79.1734,-7.4276
-0.1,0.5,-974.848,-148.82,1.84371
-0.0952381,0.5,979.466,-148.097,-15.1698
-0.0689655,0.5,-995.548,-70.9154,20.9385
-0.0833333,0.5,-985.153,-112.725,13.6533
-0.0666667,0.5,985.395,-102.46,0.220632
-0.0645161,0.5,-989.727,-46.6381,-14.5517
-0.0606061,0.5,-980.869,-76.7431,-6.49307
-0.0588235,0.5,-993.337,-86.868,36.5862
-0.0571429,0.5,983.712,-66.1789,-18.5787
-0.0714286,0.5,-990.71,-61.4357,11.6561
0.0571429,0.5,982.625,63.5001,-26.8161
0.0625,0.5,985.239,35.7655,-41.7323
-0.0625,0.5,-995.431,-62.1949,14.7237
0.0645161,0.5,-992.285,55.9363,-3.39709
0.0588235,0.5,983.193,131.967,-9.07908
0.0666667,0.5,-985.472,86.9541,0.181283
0.0606061,0.5,-205.789,298.859,32.0832
0.0689655,0.5,990.145,73.7373,-15.0851
0.0714286,0.5,-984.42,36.6386,-29.7032
0.0833333,0.5,986.781,75.2335,32.6017
0.0869565,0.5,-984.3,122.96,3.47597
0.0740741,0.5,-977.452,102.647,29.0508
0.0952381,0.5,979.487,100.962,23.4488
0.0769231,0.5,985.425,116.981,-0.507648
0.1,0.5,980.154,136.033,-6.93402
0.08,0.5,-979.472,94.8908,36.5806
0.105263,0.5,-974.898,121.873,22.8536
0.0909091,0.5,978.71,113.09,37.5219
0.111111,0.5,-986.877,118.582,16.4437
0.117647,0.5,986.548,103.787,33.0277
0.125,0.5,-980.929,129.134,-0.702858
0.133333,0.5,-982.287,140.018,-47.9723
0.142857,0.5,-30.5333,435.49,43.2399
0.153846,0.5,-968.432,209.555,12.8633
0.166667,0.5,-974.149,201.208,-22.8786
0.181818,0.5,960.215,233.226,58.3303
0.2,0.5,-952.929,245.923,26.0062
0.25,0.5,928.133,337.25,-21.8829
0.285714,0.5,919.696,366.262,-30.1702
0.333333,0.5,-907.276,392.796,3.50006
0.4,0.5,855.437,490.806,-24.4532
0.5,0.5,-768.269,620.169,-6.52967
0.666667,0.5,-465.502,847.766,-1.15943
0.222222,0.5,-942.058,306.163,-0.135191
1,0.5,38.147,983.033,-7.72468
2,0.5,7.54161,1010.35,3.08797
